Type,Name,Latitude,Longitude
Schools,Hjerk Harre Skole,56.6973996,8.9391567
Schools,Østerlars Friskole,55.1642666,14.9698275
Schools,Bjedstrup Skole,56.0649867,9.8575472
Schools,Reerslev Friskole,55.5575066,11.3934980
Schools,Nærum Gymnasium,55.81906088421052631578947368,12.53322041052631578947368421
Schools,Teknikum,56.8829794,14.8169172
Schools,Katedralskolan,55.70027233125,13.190519028125
Schools,Egekratskolen Fortuna,55.5309990,8.6528704
Schools,Horne Skole,55.7259579,8.5318814
Schools,Hjemmeværnsskolen,55.8197160,8.1939357
Schools,Årre Børnecenter,55.5744752,8.6662384
Schools,"Praktiska gymnasiet, Helsingborg",56.0338031,12.7126012
Schools,Nymarksskolen,55.4107823125,10.5955075
Schools,Christianshavn Døttreskole,55.6733005,12.5939114
Schools,Fotoskolan,55.7070192,13.1925278
Schools,Spelinstitutet,55.7058760,13.1921020
Schools,Möllevångens montessoriskola,56.0557155,12.6966626
Schools,The Animation Workshop,56.4560382,9.4061164
Schools,Landboskolan,57.4960224,13.1047927
Schools,Frederiksberg HF-kursus,55.6799579,12.4985739
Schools,Procivitas privata gymnasium,56.0467610,12.6969131
Schools,Dragen,55.2322598,9.4980612
Schools,Fjelstrup Skole,55.3218300,9.5595480
Schools,Hoptrup Skole,55.1782924,9.4531866
Schools,Moltrup Skole,55.2833114,9.4532435
Schools,Nustrup Fællesskole,55.2693549,9.1719607
Schools,Sommersted Skole,55.3190350,9.3104647
Schools,UUC 10. klasse Vojens,55.2450575,9.3019256
Schools,Vilstrup Skole,55.1944817,9.5183934
Schools,Aarø Lejrskole,55.2585373,9.7383912
Schools,Den X-Perimenterende Kunstskole,55.2453712,9.4999535
Schools,Haderslev Musikskole,55.2559696,9.4924070
Schools,Haderslev Kommunale Ungdomsskole,55.2558842,9.4923602
Schools,Haderslev Kristne Friskole,55.2552772,9.4862451
Schools,Haderslev Produktionshøjskole,55.2648037,9.4857494
Schools,Hoptrup Efterskole,55.1828460,9.4594989
Schools,STU,55.2518852,9.4972866
Schools,Sommersted Efterskole,55.3083205,9.2777910
Schools,Sprogcentret,55.2519395,9.4973769
Schools,Sønderballe Lejrskole,55.1393233,9.5019569
Schools,Deutsche Schule Felsted,54.9824043,9.4965076
Schools,Gefion Gymnasium,55.6882961,12.5813831
Schools,Helsingør Byskole,56.0382872,12.6071049
Schools,Ingstrup Efterskole,57.3194532,9.6767677
Schools,Vittrup Fri Fagskole,57.3863810,9.7904615
Schools,Prins Henriks Skole,55.6739171,12.5496938
Schools,Grundschule Achtrup,54.7878051,9.0280105
Schools,Jensen gymnasium,55.6058460,12.9927124
Schools,Fabrikken,55.6227549,12.6141227
Schools,VSU,55.2518886,9.4971242
Schools,Herningsholm Gymnasium Mediatek,56.1479726,8.9916041
Schools,"Fjordbakkeskolen, Afd. Skærbæk",55.5171027,9.6285286
Schools,Oksbøl Friskole,55.0259909,9.7310123
Schools,Pilagårdsskolan,56.1897204,13.0685082
Schools,Ollerup Efterskole,55.0729790,10.5153643
Schools,​Svendborg Heldagsskole,55.0737459,10.4910405
Schools,Brøderup Ungdomsskole,55.1838355,11.9842179
Schools,Deutsche Nachschule Tingleff,54.9341506,9.2491808
Schools,Dybbøl Efterskole,54.9311972,9.7334558
Schools,Effterskolen Alterna,56.6467754,9.9594209
Schools,Efterskolen Flyvesandet,55.6054133,10.3338480
Schools,Efterskolen Solgården,55.8977397,8.5130504
Schools,Efterskolen Epos på Danebod,54.9866270,9.9768403
Schools,Emmerske Efterskole,54.9555682,8.9152855
Schools,Faxehus Efterskole,55.2048262,12.1469906
Schools,Fenskær Efterskole,56.5443823,8.4178802
Schools,Frøslev Efterskole,54.8419880,9.3290530
Schools,Galtrup Musik- og Idrætsefterskole,56.8387755,8.7182039
Schools,Glamsdalens Idrætsefterskole,55.2715324,10.1167121
Schools,Grønsund Idrætsefterskole,54.9204545,12.0461121
Schools,Gudenådalens Ungdomsskole,56.3922216,9.7932788
Schools,Hald Ege Efterskole,56.4120012,9.3465838
Schools,Eltang Skole,55.5304246,9.5345550
Schools,Agersted Friskole,57.1998151,10.3812638
Schools,Haslev Idrætsefterskole,55.3217481,11.9658180
Schools,Hestlund Efterskole,56.1610516,9.2343350
Schools,Himmerlands Ungdomsskole,56.8001116,9.4150191
Schools,Himmerlandscentrets Idrætsefterskole,56.7859409,9.6796270
Schools,Hindholm Efterskole,55.2872693,11.5586286
Schools,Dänische Schule Bavnehoj,54.8671104,8.8815204
Schools,Holmstrup Efterskole,55.6158924,11.3958142
Schools,Holte-Hus Efterskole,55.8039254,12.4551984
Schools,Hou Maritime Idrætsefterskole,55.9193602,10.2525704
Schools,Husby Efterskole,56.2809750,8.1768405
Schools,Den danske Design- og Håndværkerefterskole,55.9416897,8.5147735
Schools,Haarby Efterskole,55.2224442,10.1122594
Schools,Hårslev Efterskole,55.27070811111111111111111111,11.47661641111111111111111111
Schools,Idrætsskolerne Ikast,56.1487849,9.1423470
Schools,Idrætsefterskolen Ulbølle,55.0725359,10.4168241
Schools,Klank Efterskole,56.1491055,9.9143156
Schools,Klintebjerg Efterskole,55.4789997,10.4514008
Schools,Lilleafdelingen,55.7559646,12.3883958
Schools,Storeafdelingen,55.7562891,12.3884385
Schools,Östertull,55.7013365,13.2004904
Schools,Københavns Idrætsefterskole,55.6479492,12.5112820
Schools,Stubbekøbing Skole,54.8890418,12.0375035
Schools,Stadsgårdsskolan,57.7393507,14.1491818
Schools,Jensen Gymnasium,55.7036364,13.1827605
Schools,Professionsskolen UCC,55.7043636,12.5533850
Schools,Mjällby grund- och särskola,56.0487622,14.6774031
Schools,Skult education,55.7024714,13.1925251
Schools,Peder Skrivares skola,57.1039110,12.2692796
Schools,Drottning Blankas gymnasieskola,56.0442786,12.6973234
Schools,Balletskolen Holstebro,56.3566342,8.6178151
Schools,Ålabodarna,55.9876681,12.7587763
Schools,Ugglebo,55.98766759090909090909090909,12.75929514090909090909090909
Schools,Mölle,55.98776203125,12.75997375625
Schools,Sjölins gymnasium,55.6117989,12.97691328
Schools,Flahultsskolan,57.7035960,14.1259239
Schools,Torsted Friskole,56.9734343,8.6162556
Schools,Öreryds Skola,57.4878840,13.6753981
Schools,Tømmerby Skole,57.0773254,8.9927111
Schools,Sprogcenter Hellerup,55.7272771,12.5560731
Schools,Sprogcenter Hellerup - Tuborg campus,55.7267087,12.5788001
Schools,Franska Skolan,57.6951739,11.9770652
Schools,Medborgarskolan,55.7044399,13.18792331666666666666666667
Schools,Guldager Naturskole og Jernalderlandsby,55.5443288,8.4348065
Schools,Frederiksberg Slot - Hærens Officersskole,55.6718932,12.5251621
Schools,Milnergymnasiet,56.0314472,14.1805626
Schools,High school,55.6752860,12.5735394
Schools,Jungshoved Skole,55.1009023,12.1370317
Schools,10. klasseskolen,55.0906530,14.7311468
Schools,"Rønneskolen, Afdeling Søndermark",55.0929934,14.7227892
Schools,VUC Syd Sønderborg,54.9114573,9.7889451
Schools,Den Fri Hestehaveskole,56.1805274,9.9158853
Schools,Herskindskolen,56.1900416,9.9647199
Schools,Møn Skole - Fanefjord,54.9154205,12.1645045
Schools,Thyholm Friskole,56.6086049,8.5368701
Schools,Arild,55.98800369375,12.75988781875
Schools,Landborgen,55.9874855,12.7579768
Schools,Absalonskolen,55.7104414,11.7004471
Schools,Fritidshjemmet ved Ladegårdsskolen,55.7080662,11.7007372
Schools,Tølløse Privat- og Efterskole,55.6131822,11.7785133
Schools,Hatlund-Langballe Danske Skole,54.7673830,9.7324416
Schools,Sosu C,55.6509471,12.4188799
Schools,Ingrid Segerstedts Gymnasium,57.7000209,11.9783822
Schools,Göteborgs Frisörskola,57.6979520,11.9835428
Schools,Cocktailskolan,57.7033655,11.9804460
Schools,Klara Teoretiska Gymnasium Vallgatan,57.7041838,11.9680658
Schools,L M Engströms Gymnasium,57.7033728,11.9636170
Schools,Glumslöv,55.9878128,12.7583630
Schools,Sundvik,55.9875778,12.7584605
Schools,Firebrand,55.9873470,12.7594109
Schools,Drottning Blankas Gymnasieskola,55.6036858,13.0007061
Schools,Jacobsskolan,56.1639210,13.7770549
Schools,Stoby skola,56.1789991,13.8302494
Schools,Arrild Friskole,55.1512105,8.9566685
Schools,Handi-K@,56.1226312,10.1683769
Schools,NTI Gymnasiet,57.7057944,11.9645583
Schools,10. Klasse - Center Djursland,56.4046897,10.8857010
Schools,Fontänen,56.0213707,12.7416437
Schools,Blekinge Naturbruksgymnasium,56.2229288,15.1241708
Schools,Mjällby skola,56.0478838,14.6768285
Schools,Lerbergsskolan,56.1763625,12.5652572
Schools,Unnaryds skola,56.9579033,13.5320086
Schools,Fjaltring Friskole,56.4736354,8.1385624
Schools,Pilbäckskolan,55.51955513793103448275862069,12.99555689310344827586206897
Schools,Nordborg Slots Efterskole,55.0588813,9.7487711
Schools,Vildmarks-gymnasium,56.9560673,13.5289222
Schools,Møn Friskole,54.9391666,12.2192030
Schools,Naturbruksgymnasiet Osby,56.3829753,14.0026816
Schools,Tilogaard Meditationskole,54.9382429,11.2310612
Schools,Kullerup Kurser,55.3170581,10.7036807
Schools,Bryrup Skole,56.0220232,9.5146932
