Type,Name,Longitude,Latitude
Public Transport Stations,Nivå,12.5062517,55.9334337
Public Transport Stations,Greve,12.2966496,55.5816884
Public Transport Stations,Ribe,8.7702871,55.3276252
Public Transport Stations,Kalundborg,11.0898869,55.6777772
Public Transport Stations,Neuendorf,13.0925109,54.5241585
Public Transport Stations,Struer,8.6017794,56.4915771
Public Transport Stations,Sörup,9.6701546,54.7165159
Public Transport Stations,Nässjö C,14.6940474,57.6519690
Public Transport Stations,Viborg,9.3984137,56.4471382
Public Transport Stations,Hals,10.3046749,56.9910064
Public Transport Stations,Egense,10.3029371,56.9860671
Public Transport Stations,Lyngby Station,12.5036301,55.7686229
Public Transport Stations,Eke bussterminal,15.0539565,57.0177898
Public Transport Stations,Sorø,11.5692580,55.4190441
Public Transport Stations,Næssund Færgen,8.4871510,56.7400620
Public Transport Stations,Gröde Anleger,8.7097189,54.6326028
Public Transport Stations,Sjukhuset Borås,12.9621184,57.7235918
Public Transport Stations,Södervärn,13.0063660,55.5888085
Public Transport Stations,Vordingborg,11.8992300,55.0118034
Public Transport Stations,Kristianstad C,14.1523158,56.0309754
Public Transport Stations,Birkerød,12.4235029,55.8403845
Public Transport Stations,Kolind,10.5875178,56.3628841
Public Transport Stations,Hessel,10.8721102,56.3900050
Public Transport Stations,Klanxbüll,8.6755903,54.8625842
Public Transport Stations,Marstal Færgehavn,10.5215251,54.8564101
Public Transport Stations,Keitum,8.3689528,54.8888554
Public Transport Stations,Christiansø,15.1860027,55.3207393
Public Transport Stations,Ivö,14.3830946,56.1122457
Public Transport Stations,Drejø færgehavn,10.4370335,54.9659666
Public Transport Stations,Sundfarten Helge,10.6350009,55.0589956
Public Transport Stations,Sankt Olof,14.1334098,55.6354012
Public Transport Stations,Vitaby,14.1555660,55.6845715
Public Transport Stations,Vitte Passagiere,13.1078863,54.5681601
Public Transport Stations,Syltfähre,8.4398008,55.0155299
Public Transport Stations,Herfølge,12.1370254,55.4177615
Public Transport Stations,Eskilstrup,11.8853384,54.8560680
