Type,Name,Latitude,Longitude
Public Transport Stations,Molslinjen Odden,55.9745617,11.2996853
Public Transport Stations,Faxe Ladeplads,55.2169821,12.1619457
Public Transport Stations,Søby Havn,54.9413768,10.2590448
Public Transport Stations,Hurtigfærgerne,55.0997692,14.6913238
Public Transport Stations,Herlev,55.7188384,12.4435483
Public Transport Stations,Buddinge,55.7471585,12.4941762
Public Transport Stations,Blovstrød Hallen,55.8649715,12.3828421
Public Transport Stations,Oskar Jensens Bro,55.8583852,12.3754988
Public Transport Stations,Vrist,56.6015949,8.1484001
Public Transport Stations,Klinkby,56.5654011,8.2196991
Public Transport Stations,Lemvig,56.5469936,8.3000424
Public Transport Stations,Victoria Street Station,56.5775419,8.1431155
Public Transport Stations,Nyhavn,55.6791344,12.5943156
Public Transport Stations,"MF Hammershus, MF Povl Anker",55.0996667,14.6894519
Public Transport Stations,Nykøbing Sj,55.9217056,11.6733626
Public Transport Stations,Egøje,55.4243351,12.1900413
Public Transport Stations,Molslinjen Ebeltoft,56.1542272,10.6676079
Public Transport Stations,Islev,55.6988768,12.469386
Public Transport Stations,Jyllingevej,55.6903652,12.4779237
Public Transport Stations,Skovlunde,55.7230635,12.4027132
Public Transport Stations,Måløv,55.7473861,12.3181279
Public Transport Stations,Frederikssund,55.8349843,12.0661855
Public Transport Stations,Ølstykke,55.7957669,12.1593166
Public Transport Stations,Egedal,55.7797855,12.1854997
Public Transport Stations,Veksø,55.749917,12.2405908
Public Transport Stations,Kildedal,55.7519613,12.2864603
Public Transport Stations,Vesterport,55.675817,12.56241
Public Transport Stations,Dybbølsbro,55.6650983,12.5595897
Public Transport Stations,Ryparken,55.7154843,12.5596915
Public Transport Stations,Svanemøllen,55.7155342,12.5788253
Public Transport Stations,Nordhavn,55.7049718,12.5910118
Public Transport Stations,Bagsværd,55.7615864,12.4545574
Public Transport Stations,Stengården,55.7567178,12.4731006
Public Transport Stations,Vangede,55.7392848,12.5242143
Public Transport Stations,Kildebakke,55.7446631,12.5079642
Public Transport Stations,Dyssegård,55.7323761,12.5360326
Public Transport Stations,Værløse,55.7824512,12.3719152
Public Transport Stations,Hareskov,55.7652202,12.4079689
Public Transport Stations,Skovbrynet,55.7651626,12.4337301
Public Transport Stations,Farum,55.8121053,12.3737085
Public Transport Stations,Hellerup,55.7305908,12.566911
Public Transport Stations,Gentofte,55.7535946,12.541436
Public Transport Stations,Frederiksværk,55.9684351,12.0194657
Public Transport Stations,Næstved Nord,55.2482225,11.7863882
Public Transport Stations,Nørrebro,55.7006813,12.5378036
Public Transport Stations,Fuglebakken,55.6953074,12.5266803
Public Transport Stations,Flintholm,55.6855434,12.4988664
Public Transport Stations,Grøndal,55.6905327,12.5153054
Public Transport Stations,Danshøj,55.6643892,12.4937549
Public Transport Stations,Ålholm,55.6720657,12.4931707
Public Transport Stations,KB Hallen,55.6778138,12.4923389
Public Transport Stations,Vigerslev Allé,55.6597688,12.4990504
Public Transport Stations,Emdrup,55.7207286,12.5410549
Public Transport Stations,Randers,56.4617821,10.0212525
Public Transport Stations,Randers - Busterminal,56.4586256,10.0398597
Public Transport Stations,Skodsborg,55.8234905,12.5716763
Public Transport Stations,Glostrup Station,55.6634929,12.3975969
Public Transport Stations,Varde Vest,55.6244403,8.4759347
Public Transport Stations,Himmelbjergbådene,56.0930619,9.7535299
Public Transport Stations,Rødby Færge,54.6549052,11.354899
Public Transport Stations,Ulfborg,56.2717392,8.3251704
Public Transport Stations,Henne,55.7103473,8.3043317
Public Transport Stations,Taulov,55.5448879,9.6156777
Public Transport Stations,Høng,55.5069459,11.285778
Public Transport Stations,Thyborøn Kirke,56.6981955,8.2069903
Public Transport Stations,Grønnehave,56.0401889,12.6110689
Public Transport Stations,Hornbæk,56.0891468,12.4597507
Public Transport Stations,Pårup,56.1007761,12.3013937
Public Transport Stations,Horneby Sand,56.089918,12.4353091
Public Transport Stations,Kildekrog,56.0926327,12.4236891
Public Transport Stations,Saunte,56.0770008,12.4855689
Public Transport Stations,Græsted,56.0728918,12.2867797
Public Transport Stations,Slotspavillonen,55.9425356,12.3111932
Public Transport Stations,Mårum,56.0306161,12.3172416
Public Transport Stations,Skibstrup,56.0783894,12.5131402
Public Transport Stations,Karinebæk,56.0829775,12.4686067
Public Transport Stations,Grønholt,55.9531826,12.3694427
Public Transport Stations,Mørdrup,56.0021658,12.5327463
Public Transport Stations,Saltrup,56.054409,12.3218282
Public Transport Stations,Hedehusene,55.6487219,12.1971176
Public Transport Stations,Lille Skensved,55.5114827,12.1404907
Public Transport Stations,Ruds Vedby,55.5398975,11.3751861
Public Transport Stations,Skellebjerg,55.5380698,11.449095
Public Transport Stations,Vedde,55.5325286,11.5472374
Public Transport Stations,Tølløse,55.6119686,11.7732185
Public Transport Stations,Kirke Eskilstrup,55.5741487,11.7652686
Public Transport Stations,Store Merløse,55.5450353,11.7110174
Public Transport Stations,Bagmarken,55.5442784,11.685297
Public Transport Stations,Nyrup,55.542361,11.6525781
Public Transport Stations,Stenlille,55.5391527,11.5912253
Public Transport Stations,Lejre,55.6043364,11.9702792
Public Transport Stations,Vipperød,55.6670078,11.7388715
Public Transport Stations,Stenhus,55.7153208,11.6872483
Public Transport Stations,Regstrup,55.6774969,11.612578
Public Transport Stations,Mørkøv,55.654562,11.5021766
Public Transport Stations,Knabstrup,55.6648959,11.5538862
Public Transport Stations,Jyderup,55.6602985,11.3982482
Public Transport Stations,Hørve,55.7526175,11.4563649
Public Transport Stations,Ny Hagested,55.7287879,11.5943293
Public Transport Stations,Gislinge,55.7295576,11.5473031
Public Transport Stations,Svinninge,55.7234244,11.4678504
Public Transport Stations,Fårevejle,55.7882281,11.4698018
Public Transport Stations,Asnæs,55.808577,11.4995742
Public Transport Stations,Grevinge,55.8030131,11.5513623
Public Transport Stations,Vig,55.8522077,11.5819286
Public Transport Stations,Nørre Asmindrup,55.8830623,11.6066198
Public Transport Stations,Sommerland Sjælland,55.8971898,11.6034977
Public Transport Stations,Højby Sjælland,55.9105729,11.603638
Public Transport Stations,Nyled,55.9219566,11.6555929
Public Transport Stations,Dianalund,55.5339804,11.4996546
Public Transport Stations,Kratbjerg,55.9664199,12.392047
Public Transport Stations,Snekkersten,56.0093169,12.5831746
Public Transport Stations,Lille Kregme,55.9465918,12.0342457
Public Transport Stations,Kregme,55.9349214,12.0465329
Public Transport Stations,Skævinge,55.9073352,12.1495823
Public Transport Stations,Brødeskov,55.8935491,12.2795272
Public Transport Stations,Hanehoved,55.975101,12.0012103
Public Transport Stations,Hundested Havn,55.9657624,11.8465877
Public Transport Stations,Vibehus,55.9602162,11.8730926
Public Transport Stations,Østerbjerg,55.9767852,11.9136932
Public Transport Stations,Melby,55.991433,11.971413
Public Transport Stations,Firhøj,56.0982157,12.356426
Public Transport Stations,Søborg,56.1005472,12.333882
Public Transport Stations,Grimstrup,55.91571,12.1021686
Public Transport Stations,København Syd,55.6526314,12.516191
Public Transport Stations,Brøndbyøster,55.6650504,12.4410201
Public Transport Stations,Ålsgårde,56.0750002,12.5383162
Public Transport Stations,Hellebæk,56.0666162,12.5540236
Public Transport Stations,Marienlyst,56.0432857,12.6023376
Public Transport Stations,Helsingør,56.032885,12.6131788
Public Transport Stations,Højstrup,56.0480848,12.5932509
Public Transport Stations,Glostrup,55.663094,12.3987613
Public Transport Stations,Hvidovre,55.6644909,12.4750154
Public Transport Stations,Langgade,55.6673952,12.5040869
Public Transport Stations,Taastrup,55.6524851,12.302094
Public Transport Stations,Albertslund,55.6581188,12.3537736
Public Transport Stations,Grubberholm,55.3801116,12.2015518
Public Transport Stations,Himlingøje,55.37242,12.2155845
Public Transport Stations,Vallø,55.4001161,12.1920964
Public Transport Stations,Faxe Syd,55.2421522,12.1369368
Public Transport Stations,Tokkerup,55.2832781,12.1427304
Public Transport Stations,Karise,55.3070046,12.1956227
Public Transport Stations,Lille Linde,55.3365771,12.219292
